week_start_date,year,month,week_of_year,demand_kg,production_kg,inventory_kg,colombo_auction_price_lkr,auction_price_lag1w,auction_price_lag4w,rainfall_index,usd_lkr_rate,festival_flag,global_commodity_shock,demand_rolling4w_avg,demand_rolling12w_avg,demand_lag1w,demand_lag2w,demand_lag4w,demand_lag8w,demand_lag13w,demand_lag26w,demand_lag52w,demand_rollmean4w,demand_rollstd4w,demand_rollmean12w,demand_rollstd12w,demand_rollmean26w,demand_rollstd26w,week_sin,week_cos,month_sin,month_cos,quarter,grade_BOP,grade_BOPF,grade_Dust,grade_OP,grade_Pekoe
2022-01-03,2022,1,1,3268,3628,315,1584.23,1567.25,1635.44,22.9,316.15,0,0.0133,3393.0,3622.0,4048.0,2400.0,3444.0,3301.0,3786.0,3856.0,3064.0,3393.0,707.1171520099527,3621.75,454.77569396151944,3792.0384615384614,500.284997238113,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,1,True,False,False,False,False
2022-01-10,2022,1,2,3405,3420,0,1617.09,1659.62,1723.17,0.0,317.24,0,0.04,3349.0,3589.0,3268.0,4048.0,3680.0,3865.0,3658.0,4394.0,2704.0,3349.0,708.3605484967854,3589.25,465.7525923413919,3769.423076923077,510.46466464012394,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,1,True,False,False,False,False
2022-01-17,2022,1,3,3299,3150,0,1427.29,1422.72,1465.62,31.4,315.51,0,-0.0602,3280.0,3573.0,3405.0,3268.0,2400.0,3595.0,3597.0,3528.0,3013.0,3280.25,678.2312167198833,3573.25,468.75039393922776,3731.3846153846152,498.77618843910994,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,1,True,False,False,False,False
2022-01-24,2022,1,4,3760,3737,0,1418.53,1431.07,1356.66,0.0,312.7,0,-0.0356,3505.0,3501.0,3299.0,3405.0,4048.0,3871.0,4161.0,3352.0,3007.0,3505.0,366.7215110498246,3501.4166666666665,435.3513645391037,3722.576923076923,504.5004002437998,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,1,True,False,False,False,False
2022-01-31,2022,1,5,3070,3219,307,1565.82,1574.86,1582.12,26.4,314.22,0,0.0388,3433.0,3495.0,3760.0,3299.0,3268.0,3444.0,3841.0,4024.0,2966.0,3433.0,225.75355294361728,3494.6666666666665,430.20509555608845,3738.269230769231,498.8261065896461,0.5680647467311558,0.8229838658936564,0.49999999999999994,0.8660254037844387,1,True,False,False,False,False
2022-02-07,2022,2,6,2945,2929,0,1662.79,1663.0,1633.77,5.5,315.57,0,0.0646,3384.0,3475.0,3070.0,3760.0,3405.0,3680.0,3301.0,4500.0,3501.0,3383.5,287.3076167919441,3475.4166666666665,444.58652053613037,3701.576923076923,511.8837503243819,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,1,True,False,False,False,False
2022-02-14,2022,2,7,2123,2086,183,1436.69,1496.29,1383.86,15.9,315.59,0,-0.072,3268.0,3399.0,2945.0,3070.0,3299.0,2400.0,3865.0,3849.0,3151.0,3268.5,358.960072060018,3398.75,450.58166952184075,3641.769230769231,505.66995621193956,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,1,True,False,False,False,False
2022-02-21,2022,2,8,3225,3214,46,1477.83,1570.57,1540.26,40.9,320.18,0,-0.0012,2974.0,3276.0,2123.0,2945.0,3760.0,4048.0,3595.0,2854.0,3251.0,2974.5,671.3302714263176,3276.0833333333335,575.3829488947213,3575.3846153846152,584.5233324289513,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,1,True,False,False,False,False
2022-02-28,2022,2,9,3592,3744,222,1480.74,1504.44,1525.42,3.3,318.1,0,-0.0389,2841.0,3222.0,3225.0,2123.0,3070.0,3268.0,3871.0,3927.0,3409.0,2840.75,492.0151589805609,3222.25,544.0277608224159,3589.653846153846,570.5705174512749,0.8854560256532099,0.4647231720437686,0.8660254037844386,0.5000000000000001,1,True,False,False,False,False
2022-03-07,2022,3,10,3476,3851,622,1669.71,1626.0,1468.04,47.4,320.94,1,-0.0376,2971.0,3235.0,3592.0,3225.0,2945.0,3405.0,3444.0,4184.0,3136.0,2971.25,624.4829194354852,3234.5833333333335,551.1430202659524,3576.769230769231,566.4152051414094,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,1,True,False,False,False,False
